"SPP","Parrotfish_PJA","Coalesced_Premaxillary_Teeth","IMJ","Recurved_Oral_Teeth","Phyllodont_dentition","Trophic_guild","X"
"Bolbometopon_muricatum_F337",1,1,0,0,0,4,""
"Calotomus_carolinusF317",1,0,0,0,0,4,""
"Calotomus_spinidensPFC2118",1,0,0,0,0,4,""
"Cetoscarus_bicolorPFC113",1,1,0,0,0,4,""
"Chlorurus_bleekeriF123",1,1,1,0,0,4,""
"Chlorurus_bowersiPFC3072",1,1,1,0,0,4,""
"Chlorurus_capistratoidesF281",1,1,1,0,0,4,""
"Chlorurus_japanensisPFC5870",1,1,1,0,0,4,""
"Chlorurus_microrhinosF307",1,1,1,0,0,4,""
"Cryptotomus_roseusF126",1,0,0,0,0,4,""
"Leptoscarus_vaigiensisF151",1,1,0,0,0,4,""
"Nicholsina_ustaF392",1,0,0,0,0,4,""
"Scarus_altipinnisF129",1,1,1,0,0,4,""
"Scarus_chameleonF130",1,1,1,0,0,4,""
"Scarus_coelestinusF285",1,1,1,0,0,4,""
"Scarus_festivusF252",1,1,1,0,0,4,""
"Scarus_flavipectoralisPFC228",1,1,1,0,0,4,""
"Scarus_forsteniF201",1,1,1,0,0,4,""
"Scarus_frenatusF288",1,1,1,0,0,4,""
"Scarus_ghobbanF204",1,1,1,0,0,4,""
"Scarus_globicepsF569S448",1,1,1,0,0,4,""
"Scarus_guacamaiaF224",1,1,1,0,0,4,""
"Scarus_hypselopterusF291",1,1,1,0,0,4,""
"Scarus_iseriF136",1,1,1,0,0,4,""
"Scarus_nigerF248",1,1,1,0,0,4,""
"Scarus_ovicepsRNF166",1,1,1,0,0,4,""
"Scarus_prasiognathosF302",1,1,1,0,0,4,""
"Scarus_psittacusF137",1,1,1,0,0,4,""
"Scarus_quoyiF272",1,1,1,0,0,4,""
"Scarus_rivulatusF250",1,1,1,0,0,4,""
"Scarus_rubroviolaceusF211",1,1,1,0,0,4,""
"Scarus_schlegeliPFC371",1,1,1,0,0,4,""
"Scarus_spinusF305",1,1,1,0,0,4,""
"Scarus_taeniopterusPFC754",1,1,1,0,0,4,""
"Scarus_tricolorF306",1,1,1,0,0,4,""
"Sparisoma_amplumF323",1,1,0,0,0,4,""
"Sparisoma_atomariumF139",1,1,0,0,0,4,""
"Sparisoma_aurofrenatumF140",1,1,0,0,0,4,""
"Sparisoma_axillareF324",1,1,0,0,0,4,""
"Sparisoma_chrysopterumF141",1,1,0,0,0,4,""
"Sparisoma_cretenseRNPFCR2552",1,1,0,0,0,4,""
"Sparisoma_frondosumF325",1,1,0,0,0,4,""
"Sparisoma_radiansF142",1,1,0,0,0,4,""
"Sparisoma_virideF143",1,1,0,0,0,4,""
